Mun;Mas;Fem;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Médico Cirurgião Geral;Médico Clínico;Médico Ginecologista Obstetra;Médico de família e comunidade;Médico Pediatra;Médico geriatra;Médico urologista;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO
110094 Cujubim;13979;13152;2785;2523;2293;2547;5001;4377;3604;2345;1141;412;103;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
110009 Espigão D'Oeste;16526;16483;2565;2526;2478;2523;5439;5358;4760;3609;2316;1045;390;0.0;11.0;2.0;0.0;1.0;0.0;0.0;1.0;26.0;10.0;2.0;2.0;21.0;5.0;0.0;9.0;2.0;0.0;3.0;0.0;0.0;0.0
110100 Governador Jorge Teixeira;3582;3548;543;507;449;506;1127;1095;1064;877;558;294;110;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0
110010 Guajará-Mirim;23766;23164;4369;4226;4041;4147;8095;7075;6001;4561;2612;1266;537;1.0;22.0;1.0;0.0;2.0;0.0;0.0;4.0;36.0;4.0;1.0;3.0;14.0;2.0;0.0;4.0;6.0;0.0;2.0;0.0;0.0;0.0
110110 Itapuã do Oeste;5650;5169;1044;992;859;798;1931;1594;1451;1070;685;300;95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0
110011 Jaru;25174;26295;3811;3751;3670;4034;8536;8760;7306;5477;3584;1760;780;0.0;23.0;3.0;0.0;2.0;0.0;1.0;9.0;41.0;15.0;5.0;7.0;55.0;14.0;0.0;2.0;14.0;0.0;3.0;0.0;0.0;0.0
110012 Ji-Paraná;64338;66688;9334;9420;9679;10290;21715;22145;18466;14824;9458;4066;1629;2.0;124.0;10.0;0.0;14.0;0.0;2.0;19.0;113.0;45.0;12.0;13.0;111.0;52.0;0.0;0.0;16.0;3.0;6.0;1.0;0.0;0.0
110013 Machadinho D'Oeste;21602;20122;3777;3659;3374;3374;7066;6613;5789;4085;2544;1096;347;0.0;10.0;0.0;0.0;0.0;0.0;0.0;3.0;22.0;1.0;1.0;2.0;6.0;2.0;0.0;0.0;7.0;1.0;1.0;0.0;0.0;0.0
110120 Ministro Andreazza;4700;4761;763;762;714;704;1543;1467;1296;1071;666;336;139;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0
110130 Mirante da Serra;5326;5365;802;767;698;828;1773;1605;1508;1152;886;450;222;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0
110140 Monte Negro;8286;7872;1362;1294;1156;1285;2744;2374;2270;1734;1144;579;216;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0
110014 Nova Brasilândia D'Oeste;10374;10130;1453;1413;1343;1473;3463;3218;3192;2433;1543;717;256;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;10.0;4.0;1.0;2.0;4.0;2.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0
110033 Nova Mamoré;16436;15748;3136;2966;2670;2766;5432;4958;4529;3012;1710;746;259;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;8.0;2.0;1.0;1.0;1.0;0.0;2.0;3.0;0.0;1.0;0.0;0.0;0.0
110143 Nova União;3530;3292;509;508;491;498;1153;991;1039;819;503;227;84;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
110050 Novo Horizonte do Oeste;4160;3965;563;568;525;498;1201;1181;1263;1131;711;348;136;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0
110015 Ouro Preto do Oeste;17004;18441;2454;2459;2446;2606;5659;5859;4970;4306;2742;1362;582;0.0;18.0;0.0;0.0;7.0;0.0;0.0;3.0;23.0;8.0;1.0;4.0;12.0;5.0;1.0;2.0;7.0;0.0;4.0;0.0;0.0;0.0
110145 Parecis;3386;2933;545;528;496;489;1052;1084;818;711;373;169;54;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
110018 Pimenta Bueno;18492;18606;2659;2699;2799;3017;6380;6406;5163;4013;2487;1074;401;0.0;23.0;1.0;0.0;2.0;0.0;0.0;6.0;30.0;18.0;0.0;4.0;34.0;19.0;0.0;1.0;6.0;2.0;2.0;0.0;0.0;0.0
110146 Pimenteiras do Oeste;1086;1041;212;184;154;154;337;317;307;245;146;55;16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
110020 Porto Velho;283850;265102;40997;40298;41794;46354;100011;101217;77119;54491;31271;11501;3899;44.0;472.0;68.0;1.0;129.0;0.0;10.0;127.0;1076.0;353.0;120.0;131.0;335.0;191.0;16.0;14.0;49.0;3.0;16.0;4.0;0.0;0.0
110025 Presidente Médici;9005;9160;1182;1197;1161;1199;2682;2855;2700;2404;1632;799;354;1.0;3.0;1.0;0.0;1.0;0.0;0.0;5.0;20.0;5.0;0.0;1.0;9.0;3.0;0.0;3.0;7.0;2.0;1.0;0.0;0.0;0.0
110147 Primavera de Rondônia;1368;1329;182;181;156;178;443;384;398;373;230;121;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
110026 Rio Crespo;1976;1867;310;297;263;278;590;559;585;491;287;128;55;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
110028 Rolim de Moura;27143;28605;3906;3903;3922;4366;9544;9676;7949;6275;3812;1693;702;0.0;43.0;4.0;0.0;5.0;0.0;0.0;4.0;37.0;16.0;2.0;2.0;16.0;14.0;0.0;2.0;10.0;4.0;3.0;0.0;0.0;0.0
110029 Santa Luzia D'Oeste;2991;2951;382;392;381;364;880;954;877;854;516;237;105;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0
110148 São Felipe D'Oeste;2465;2497;327;321;288;299;739;742;762;651;468;263;102;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0
110149 São Francisco do Guaporé;10533;10555;1892;1755;1613;1714;3733;3149;2861;2080;1295;758;238;0.0;3.0;1.0;0.0;1.0;0.0;0.0;4.0;25.0;8.0;0.0;2.0;2.0;4.0;0.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0
110032 São Miguel do Guaporé;11743;11404;1892;1800;1665;1808;4129;3731;3249;2458;1504;677;234;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;10.0;4.0;1.0;1.0;0.0;4.0;0.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0
110150 Seringueiras;5957;5889;915;862;789;947;2053;1809;1710;1345;839;411;166;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0
110155 Teixeirópolis;2124;2036;273;279;266;271;633;631;595;576;327;212;97;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
110160 Theobroma;5296;5052;821;790;698;707;1591;1529;1601;1165;810;462;174;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;2.0;0.0;0.0;0.0;1.0;0.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0
110170 Urupá;5590;5491;802;768;729;766;1681;1807;1618;1325;954;469;162;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;3.0;0.0;1.0;11.0;2.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0
110175 Vale do Anari;5882;5663;987;898;775;827;1844;1742;1708;1321;861;431;151;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0
110180 Vale do Paraíso;3221;3269;456;452;417;433;1038;952;990;869;530;257;96;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
110030 Vilhena;51583;52934;7970;7868;7954;8580;18356;18122;14605;10878;6484;2719;981;4.0;56.0;12.0;1.0;12.0;0.0;2.0;25.0;134.0;72.0;18.0;15.0;129.0;75.0;7.0;7.0;7.0;0.0;2.0;0.0;0.0;0.0
120001 Acrelândia;8048;7673;1441;1426;1328;1388;2996;2306;2014;1411;808;444;159;0.0;5.0;0.0;0.0;0.0;0.0;0.0;4.0;7.0;3.0;1.0;2.0;0.0;4.0;0.0;0.0;6.0;2.0;0.0;0.0;0.0;0.0
120005 Assis Brasil;3768;3881;856;822;804;757;1314;1065;890;563;339;164;75;0.0;7.0;0.0;0.0;0.0;0.0;0.0;2.0;10.0;2.0;0.0;1.0;1.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
120010 Brasiléia;13842;13281;2272;2353;2436;2564;4955;4221;3464;2368;1378;761;351;2.0;21.0;2.0;0.0;0.0;0.0;0.0;8.0;43.0;7.0;0.0;3.0;6.0;8.0;0.0;1.0;9.0;0.0;1.0;0.0;0.0;0.0
120013 Bujari;5509;5063;972;958;906;961;1930;1482;1358;916;661;323;105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0
120017 Capixaba;6117;6163;1199;1154;1035;1167;2429;1550;1418;1142;690;367;129;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0
120020 Cruzeiro do Sul;44427;45333;8752;8877;9119;9399;16480;13703;10385;6068;3750;2169;1058;1.0;63.0;9.0;0.0;5.0;0.0;0.0;26.0;142.0;39.0;6.0;11.0;15.0;16.0;1.0;10.0;26.0;2.0;2.0;2.0;0.0;0.0
120025 Epitaciolândia;9523;9456;1588;1645;1731;1851;3507;2815;2336;1710;999;543;254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;1.0;3.0;3.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0
120030 Feijó;18280;16706;4137;4153;4028;3925;6319;4521;3344;2293;1247;721;298;0.0;7.0;0.0;0.0;0.0;0.0;0.0;2.0;18.0;3.0;0.0;1.0;1.0;2.0;0.0;0.0;8.0;0.0;1.0;0.0;0.0;0.0
120032 Jordão;4454;4174;1435;1240;1094;1044;1615;1053;661;274;132;51;29;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
120033 Mâncio Lima;9973;9670;2205;2169;2030;1917;3514;2885;2108;1275;836;485;219;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;9.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;9.0;0.0;1.0;0.0;0.0;0.0
120034 Manoel Urbano;5144;4557;1125;1075;1001;986;1766;1421;1079;613;360;179;96;0.0;7.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
120035 Marechal Thaumaturgo;10363;9364;2895;2705;2498;2428;3729;2378;1535;828;424;216;91;0.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;9.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0
120038 Plácido de Castro;10520;9627;1833;1901;1847;1846;3405;2747;2429;2007;1234;624;274;0.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;16.0;4.0;0.0;1.0;1.0;2.0;0.0;0.0;8.0;0.0;1.0;0.0;0.0;0.0
120080 Porto Acre;9790;9351;1730;1747;1654;1792;3506;2596;2281;1723;1101;709;302;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0
120039 Porto Walter;6548;5949;1997;1857;1569;1398;2196;1493;1022;537;252;121;55;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0
120040 Rio Branco;204455;214997;31183;33226;37940;42074;78364;68687;54954;36174;21933;10385;4532;21.0;272.0;29.0;0.0;60.0;1.0;1.0;88.0;638.0;167.0;46.0;68.0;200.0;131.0;10.0;0.0;66.0;9.0;9.0;4.0;0.0;0.0
120042 Rodrigues Alves;10158;9609;2560;2367;2136;2246;3695;2620;2066;1110;552;304;111;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0
120043 Santa Rosa do Purus;3499;3394;1119;898;777;830;1324;909;511;349;120;45;11;0.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0
120050 Sena Madureira;24421;22747;4508;4455;4574;4913;8902;7622;5491;3220;1915;1070;498;0.0;8.0;1.0;0.0;0.0;0.0;0.0;7.0;26.0;5.0;1.0;2.0;3.0;5.0;0.0;0.0;17.0;1.0;1.0;0.0;0.0;0.0
120045 Senador Guiomard;11726;11720;2056;2093;2100;2219;4070;3427;2976;2048;1414;718;325;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;17.0;2.0;0.0;1.0;1.0;1.0;0.0;4.0;9.0;0.0;1.0;0.0;0.0;0.0
120060 Tarauacá;22538;21192;5573;5425;5230;4892;7827;5576;3907;2563;1456;864;417;0.0;12.0;0.0;0.0;1.0;0.0;0.0;3.0;18.0;3.0;2.0;4.0;6.0;3.0;0.0;11.0;1.0;0.0;1.0;0.0;0.0;0.0
120070 Xapuri;10256;9610;1778;1797;1781;1903;3728;2968;2365;1676;1028;578;264;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0
130002 Alvarães;8641;7755;2416;2197;1876;1676;2905;2074;1488;929;478;253;104;0.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;7.0;4.0;0.0;1.0;1.0;0.0;0.0;2.0;4.0;0.0;1.0;0.0;0.0;0.0
130006 Amaturá;6188;5746;1486;1441;1302;1080;2332;1768;1229;708;356;165;67;0.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0;15.0;2.0;0.0;1.0;6.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0
130008 Anamã;7595;6697;1600;1521;1332;1321;2821;2231;1655;951;484;250;126;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;11.0;1.0;1.0;0.0;4.0;0.0;0.0;6.0;1.0;1.0;1.0;0.0;0.0;0.0
130010 Anori;11216;10721;2525;2507;2240;1984;4284;3454;2393;1321;690;357;182;0.0;7.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0
130014 Apuí;12096;10643;1874;1817;1679;1847;4744;4158;2913;1949;1155;476;127;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;11.0;5.0;1.0;1.0;0.0;2.0;0.0;5.0;2.0;0.0;1.0;0.0;0.0;0.0
130020 Atalaia do Norte;10911;9957;2623;2465;2324;2110;4214;3237;1852;1076;561;283;123;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;37.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0
130030 Autazes;21522;19483;4877;4757;4081;3545;7171;5481;4361;3317;1912;1026;477;1.0;9.0;0.0;0.0;1.0;0.0;0.0;7.0;16.0;4.0;2.0;4.0;4.0;6.0;0.0;0.0;13.0;0.0;1.0;0.0;0.0;0.0
130040 Barcelos;15298;12474;2432;2583;2515;2637;6090;4295;2834;2243;1397;568;178;0.0;6.0;1.0;0.0;0.0;0.0;0.0;4.0;20.0;6.0;1.0;1.0;2.0;2.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0
130050 Barreirinha;17160;15759;4584;4352;3549;3045;5940;4072;2988;2073;1275;667;374;0.0;7.0;0.0;0.0;1.0;0.0;0.0;4.0;40.0;10.0;0.0;1.0;3.0;2.0;0.0;5.0;5.0;0.0;1.0;0.0;0.0;0.0
130060 Benjamin Constant;23201;21672;5851;5837;5558;4500;7827;6045;3938;2706;1467;760;384;1.0;9.0;0.0;0.0;0.0;0.0;0.0;3.0;27.0;4.0;1.0;2.0;10.0;3.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0
130063 Beruri;10765;9738;2913;2697;2266;2001;3452;2607;1867;1364;777;381;178;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0
130068 Boa Vista do Ramos;10807;9233;2422;2397;2067;1948;3933;2692;1985;1309;765;350;172;0.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;11.0;2.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0
130070 Boca do Acre;18000;16958;3627;3662;3339;3045;6206;5255;4160;2718;1634;903;409;1.0;12.0;1.0;0.0;1.0;0.0;0.0;3.0;24.0;17.0;2.0;1.0;8.0;9.0;0.0;0.0;5.0;1.0;1.0;0.0;0.0;0.0
130080 Borba;22251;20077;5203;4906;4220;3797;7899;6219;4407;2663;1616;898;500;0.0;4.0;0.0;0.0;0.0;0.0;0.0;8.0;34.0;8.0;1.0;3.0;2.0;4.0;0.0;0.0;9.0;0.0;1.0;0.0;0.0;0.0
130083 Caapiranga;7067;6415;1574;1534;1363;1234;2524;1974;1490;870;541;274;104;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;8.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0
130090 Canutama;8889;7092;1479;1432;1261;1254;2897;2551;2222;1424;869;436;156;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0
130100 Carauari;14723;13996;3436;3371;2953;2669;5399;4061;2858;1945;1155;605;267;0.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0;10.0;6.0;0.0;2.0;0.0;3.0;0.0;2.0;6.0;0.0;1.0;0.0;0.0;0.0
130110 Careiro;20097;18723;3888;4084;3556;3280;7211;5768;4869;3074;1833;892;365;1.0;2.0;1.0;0.0;0.0;0.0;1.0;3.0;35.0;8.0;1.0;1.0;1.0;2.0;0.0;0.0;14.0;0.0;1.0;0.0;0.0;0.0
130115 Careiro da Várzea;16427;15032;2886;3007;2781;2462;5381;4821;4228;3117;1620;818;338;0.0;5.0;1.0;0.0;0.0;0.0;0.0;8.0;1.0;1.0;1.0;2.0;7.0;3.0;0.0;16.0;0.0;0.0;1.0;0.0;0.0;0.0
130120 Coari;45880;40833;9182;9221;9023;8651;17117;13630;9078;5163;3270;1638;740;2.0;15.0;5.0;0.0;2.0;0.0;0.0;19.0;48.0;15.0;3.0;9.0;1.0;5.0;1.0;0.0;14.0;5.0;1.0;0.0;0.0;0.0
130130 Codajás;15345;14346;3174;3068;2753;2806;5841;5064;3223;1956;1073;508;225;0.0;3.0;0.0;0.0;2.0;0.0;0.0;2.0;5.0;4.0;1.0;1.0;0.0;2.0;0.0;8.0;0.0;1.0;1.0;0.0;0.0;0.0
130140 Eirunepé;18541;17580;4550;4393;3921;3368;6419;5195;3529;2297;1441;706;302;1.0;3.0;1.0;0.0;0.0;0.0;0.0;4.0;29.0;5.0;0.0;3.0;3.0;3.0;0.0;0.0;4.0;1.0;1.0;0.0;0.0;0.0
130150 Envira;10641;10107;2589;2555;2284;2000;3918;2974;2019;1198;655;357;199;0.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;10.0;3.0;0.0;4.0;2.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0
130160 Fonte Boa;8625;7784;2095;1989;1827;1595;2895;2200;1544;1012;680;390;182;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;12.0;2.0;1.0;3.0;1.0;3.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0
