Mun;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;Total
250220 Bom Jesus;0.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0
250230 Bom Sucesso;0.0;2.0;1.0;1.0;0.0;0.0;0.0;4.0
250240 Bonito de Santa Fé;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
250250 Boqueirão;0.0;9.0;2.0;1.0;0.0;0.0;0.0;12.0
250270 Borborema;3.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0
250280 Brejo do Cruz;1.0;5.0;1.0;1.0;0.0;0.0;0.0;8.0
250290 Brejo dos Santos;0.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0
250300 Caaporã;0.0;10.0;0.0;1.0;0.0;0.0;0.0;11.0
250310 Cabaceiras;1.0;3.0;1.0;0.0;0.0;0.0;0.0;5.0
250320 Cabedelo;0.0;23.0;2.0;1.0;0.0;0.0;0.0;26.0
250330 Cachoeira dos Índios;0.0;6.0;1.0;0.0;0.0;0.0;0.0;7.0
250340 Cacimba de Areia;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250350 Cacimba de Dentro;4.0;3.0;0.0;1.0;0.0;0.0;0.0;8.0
250355 Cacimbas;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
250360 Caiçara;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
250370 Cajazeiras;0.0;35.0;5.0;2.0;0.0;0.0;0.0;42.0
250375 Cajazeirinhas;0.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0
250380 Caldas Brandão;1.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
250390 Camalaú;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0
250400 Campina Grande;0.0;92.0;32.0;13.0;5.0;0.0;1.0;143.0
250403 Capim;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250407 Caraúbas;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250410 Carrapateira;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
250415 Casserengue;2.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0
250420 Catingueira;1.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0
250430 Catolé do Rocha;4.0;11.0;0.0;2.0;0.0;0.0;0.0;17.0
250435 Caturité;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250440 Conceição;1.0;10.0;0.0;1.0;0.0;0.0;0.0;12.0
250450 Condado;1.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
250460 Conde;0.0;11.0;1.0;0.0;2.0;0.0;0.0;14.0
250470 Congo;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250480 Coremas;1.0;9.0;1.0;1.0;0.0;0.0;0.0;12.0
250485 Coxixola;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
250490 Cruz do Espírito Santo;0.0;6.0;1.0;0.0;0.0;0.0;0.0;7.0
250500 Cubati;0.0;4.0;0.0;1.0;0.0;0.0;0.0;5.0
250510 Cuité;0.0;10.0;3.0;1.0;0.0;0.0;0.0;14.0
250523 Cuité de Mamanguape;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250520 Cuitegi;3.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0
250527 Curral de Cima;2.0;3.0;0.0;0.0;0.0;0.0;0.0;5.0
250530 Curral Velho;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
250535 Damião;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250540 Desterro;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
250560 Diamante;0.0;3.0;1.0;0.0;0.0;0.0;0.0;4.0
250570 Dona Inês;5.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0
250580 Duas Estradas;1.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0
250590 Emas;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
250600 Esperança;7.0;14.0;1.0;1.0;0.0;0.0;0.0;23.0
250610 Fagundes;6.0;5.0;1.0;0.0;0.0;0.0;0.0;12.0
250620 Frei Martinho;4.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0
250625 Gado Bravo;0.0;4.0;1.0;0.0;0.0;0.0;0.0;5.0
250630 Guarabira;2.0;20.0;4.0;2.0;3.0;0.0;0.0;31.0
250640 Gurinhém;0.0;7.0;1.0;0.0;0.0;0.0;0.0;8.0
250650 Gurjão;1.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0
250660 Ibiara;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250260 Igaracy;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250670 Imaculada;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
250680 Ingá;0.0;9.0;1.0;0.0;0.0;0.0;0.0;10.0
250690 Itabaiana;6.0;11.0;2.0;1.0;0.0;0.0;0.0;20.0
250700 Itaporanga;0.0;11.0;2.0;1.0;0.0;0.0;0.0;14.0
250710 Itapororoca;0.0;7.0;0.0;1.0;0.0;0.0;0.0;8.0
250720 Itatuba;0.0;5.0;1.0;0.0;0.0;0.0;0.0;6.0
250730 Jacaraú;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0
250740 Jericó;2.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0
250750 João Pessoa;1.0;106.0;17.0;19.0;21.0;0.0;2.0;166.0
251365 Joca Claudino;3.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0
250760 Juarez Távora;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
250770 Juazeirinho;3.0;9.0;4.0;1.0;0.0;0.0;0.0;17.0
250780 Junco do Seridó;1.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
250790 Juripiranga;0.0;6.0;2.0;0.0;0.0;0.0;0.0;8.0
250800 Juru;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
250810 Lagoa;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
250820 Lagoa de Dentro;3.0;4.0;1.0;1.0;0.0;0.0;0.0;9.0
250830 Lagoa Seca;0.0;13.0;1.0;1.0;0.0;0.0;0.0;15.0
250840 Lastro;2.0;1.0;1.0;1.0;0.0;0.0;0.0;5.0
250850 Livramento;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
250855 Logradouro;1.0;3.0;1.0;0.0;0.0;0.0;0.0;5.0
250860 Lucena;2.0;6.0;0.0;0.0;0.0;0.0;0.0;8.0
250870 Mãe d'Água;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250880 Malta;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250890 Mamanguape;1.0;19.0;4.0;2.0;0.0;0.0;0.0;26.0
250900 Manaíra;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
250905 Marcação;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
250910 Mari;3.0;12.0;1.0;1.0;0.0;0.0;0.0;17.0
250915 Marizópolis;0.0;3.0;1.0;0.0;0.0;0.0;0.0;4.0
250920 Massaranduba;0.0;7.0;1.0;1.0;0.0;0.0;0.0;9.0
250930 Mataraca;2.0;6.0;0.0;0.0;0.0;0.0;0.0;8.0
250933 Matinhas;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
250937 Mato Grosso;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0
250939 Maturéia;0.0;3.0;1.0;0.0;0.0;0.0;0.0;4.0
250940 Mogeiro;0.0;8.0;1.0;0.0;0.0;0.0;0.0;9.0
250950 Montadas;1.0;4.0;1.0;0.0;0.0;0.0;0.0;6.0
250960 Monte Horebe;1.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0
250970 Monteiro;16.0;14.0;5.0;2.0;0.0;0.0;0.0;37.0
250980 Mulungu;1.0;5.0;0.0;0.0;0.0;0.0;0.0;6.0
250990 Natuba;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
251000 Nazarezinho;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0
251010 Nova Floresta;1.0;5.0;1.0;0.0;0.0;0.0;0.0;7.0
251020 Nova Olinda;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
251030 Nova Palmeira;2.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0
251040 Olho d'Água;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
251050 Olivedos;0.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0
251060 Ouro Velho;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251065 Parari;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
251070 Passagem;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0
251080 Patos;0.0;43.0;5.0;2.0;2.0;0.0;0.0;52.0
251090 Paulista;0.0;6.0;1.0;1.0;0.0;0.0;0.0;8.0
251100 Pedra Branca;2.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0
251110 Pedra Lavrada;1.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0
251120 Pedras de Fogo;1.0;14.0;1.0;1.0;0.0;0.0;0.0;17.0
251272 Pedro Régis;1.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0
251130 Piancó;0.0;8.0;1.0;2.0;0.0;0.0;0.0;11.0
251140 Picuí;14.0;0.0;0.0;1.0;0.0;0.0;0.0;15.0
251150 Pilar;4.0;6.0;1.0;1.0;0.0;0.0;0.0;12.0
251160 Pilões;1.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
251170 Pilõezinhos;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251180 Pirpirituba;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
251190 Pitimbu;0.0;8.0;2.0;0.0;0.0;0.0;0.0;10.0
251200 Pocinhos;0.0;9.0;1.0;1.0;0.0;0.0;0.0;11.0
251203 Poço Dantas;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
251207 Poço de José de Moura;5.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0
251210 Pombal;4.0;14.0;1.0;1.0;0.0;0.0;0.0;20.0
251220 Prata;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
251230 Princesa Isabel;1.0;13.0;0.0;0.0;1.0;0.0;0.0;15.0
251240 Puxinanã;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0
251250 Queimadas;0.0;20.0;1.0;1.0;0.0;0.0;0.0;22.0
251260 Quixabá;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
251270 Remígio;0.0;10.0;1.0;0.0;0.0;0.0;0.0;11.0
251274 Riachão;2.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0
251275 Riachão do Bacamarte;2.0;3.0;0.0;0.0;0.0;0.0;0.0;5.0
251276 Riachão do Poço;1.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0
251278 Riacho de Santo Antônio;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0
251280 Riacho dos Cavalos;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
251290 Rio Tinto;0.0;9.0;2.0;0.0;0.0;0.0;0.0;11.0
251300 Salgadinho;2.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0
251310 Salgado de São Félix;5.0;5.0;1.0;0.0;0.0;0.0;0.0;11.0
251315 Santa Cecília;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
251320 Santa Cruz;0.0;3.0;1.0;1.0;0.0;0.0;0.0;5.0
251330 Santa Helena;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
251335 Santa Inês;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251340 Santa Luzia;0.0;6.0;1.0;1.0;0.0;0.0;0.0;8.0
251370 Santa Rita;1.0;43.0;5.0;2.0;0.0;0.0;0.0;51.0
251380 Santa Teresinha;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251350 Santana de Mangueira;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
251360 Santana dos Garrotes;1.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0
251385 Santo André;2.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0
251392 São Bentinho;3.0;3.0;1.0;0.0;0.0;0.0;0.0;7.0
251390 São Bento;0.0;15.0;0.0;1.0;0.0;0.0;0.0;16.0
251396 São Domingos;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251394 São Domingos do Cariri;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
251398 São Francisco;0.0;3.0;1.0;0.0;0.0;0.0;0.0;4.0
251400 São João do Cariri;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
250070 São João do Rio do Peixe;0.0;10.0;0.0;1.0;0.0;0.0;0.0;11.0
251410 São João do Tigre;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251420 São José da Lagoa Tapada;0.0;5.0;1.0;0.0;0.0;0.0;0.0;6.0
251430 São José de Caiana;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
251440 São José de Espinharas;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251450 São José de Piranhas;0.0;11.0;1.0;1.0;0.0;0.0;0.0;13.0
251455 São José de Princesa;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251460 São José do Bonfim;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251465 São José do Brejo do Cruz;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
251470 São José do Sabugi;0.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0
251480 São José dos Cordeiros;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251445 São José dos Ramos;1.0;5.0;0.0;0.0;0.0;0.0;0.0;6.0
251490 São Mamede;0.0;4.0;1.0;1.0;0.0;0.0;0.0;6.0
251500 São Miguel de Taipu;0.0;4.0;1.0;0.0;0.0;0.0;0.0;5.0
251510 São Sebastião de Lagoa de Roça;0.0;6.0;1.0;0.0;0.0;0.0;0.0;7.0
251520 São Sebastião do Umbuzeiro;1.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0
251540 São Vicente do Seridó;1.0;5.0;0.0;0.0;0.0;0.0;0.0;6.0
251530 Sapé;0.0;19.0;2.0;1.0;0.0;0.0;0.0;22.0
251550 Serra Branca;1.0;6.0;0.0;1.0;0.0;0.0;0.0;8.0
251560 Serra da Raiz;2.0;3.0;0.0;0.0;0.0;0.0;0.0;5.0
251570 Serra Grande;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251580 Serra Redonda;0.0;4.0;1.0;0.0;0.0;0.0;0.0;5.0
251590 Serraria;4.0;0.0;1.0;1.0;0.0;0.0;0.0;6.0
251593 Sertãozinho;0.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0
251597 Sobrado;0.0;4.0;1.0;0.0;0.0;0.0;0.0;5.0
251600 Solânea;0.0;11.0;0.0;0.0;0.0;0.0;0.0;11.0
251610 Soledade;1.0;7.0;1.0;1.0;0.0;0.0;0.0;10.0
251615 Sossêgo;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
251620 Sousa;0.0;30.0;1.0;3.0;1.0;0.0;0.0;35.0
251630 Sumé;3.0;6.0;0.0;1.0;0.0;0.0;0.0;10.0
251640 Tacima;5.0;3.0;0.0;0.0;0.0;0.0;0.0;8.0
251650 Taperoá;0.0;7.0;0.0;1.0;0.0;0.0;0.0;8.0
251660 Tavares;0.0;7.0;0.0;1.0;0.0;0.0;0.0;8.0
251670 Teixeira;0.0;10.0;1.0;0.0;0.0;0.0;0.0;11.0
251675 Tenório;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0
251680 Triunfo;5.0;3.0;1.0;0.0;0.0;0.0;0.0;9.0
251690 Uiraúna;4.0;8.0;0.0;2.0;0.0;0.0;0.0;14.0
251700 Umbuzeiro;1.0;5.0;1.0;0.0;0.0;0.0;0.0;7.0
251710 Várzea;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
251720 Vieirópolis;3.0;2.0;1.0;0.0;0.0;0.0;0.0;6.0
250550 Vista Serrana;0.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0
251740 Zabelê;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
260005 Abreu e Lima;4.0;25.0;0.0;2.0;0.0;0.0;0.0;31.0
260010 Afogados da Ingazeira;0.0;15.0;0.0;3.0;0.0;0.0;0.0;18.0
260020 Afrânio;1.0;12.0;0.0;2.0;0.0;0.0;0.0;15.0
260030 Agrestina;16.0;2.0;0.0;1.0;1.0;0.0;0.0;20.0
260040 Água Preta;0.0;14.0;0.0;0.0;0.0;0.0;0.0;14.0
260050 Águas Belas;0.0;15.0;1.0;1.0;0.0;0.0;0.0;17.0
260060 Alagoinha;4.0;3.0;0.0;0.0;0.0;0.0;0.0;7.0
260070 Aliança;2.0;14.0;0.0;1.0;0.0;0.0;0.0;17.0
260080 Altinho;0.0;8.0;0.0;1.0;0.0;0.0;0.0;9.0
260090 Amaraji;0.0;8.0;0.0;0.0;0.0;0.0;0.0;8.0
260100 Angelim;1.0;6.0;1.0;1.0;0.0;0.0;0.0;9.0
260105 Araçoiaba;0.0;8.0;0.0;0.0;0.0;0.0;0.0;8.0
260110 Araripina;2.0;22.0;2.0;2.0;0.0;0.0;0.0;28.0
260120 Arcoverde;5.0;29.0;1.0;2.0;0.0;0.0;0.0;37.0
260130 Barra de Guabiraba;0.0;8.0;0.0;0.0;0.0;0.0;0.0;8.0
260140 Barreiros;0.0;15.0;1.0;1.0;0.0;0.0;0.0;17.0
260150 Belém de Maria;3.0;5.0;0.0;0.0;0.0;0.0;0.0;8.0
260160 Belém do São Francisco;3.0;7.0;0.0;1.0;0.0;0.0;0.0;11.0
260170 Belo Jardim;9.0;16.0;1.0;2.0;0.0;0.0;0.0;28.0
260180 Betânia;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0
260190 Bezerros;3.0;19.0;1.0;3.0;0.0;0.0;0.0;26.0
260200 Bodocó;12.0;0.0;1.0;1.0;0.0;0.0;0.0;14.0
260210 Bom Conselho;2.0;16.0;0.0;1.0;0.0;0.0;0.0;19.0
260220 Bom Jardim;8.0;12.0;0.0;1.0;0.0;0.0;0.0;21.0
260230 Bonito;2.0;13.0;1.0;1.0;0.0;0.0;0.0;17.0
260240 Brejão;2.0;7.0;0.0;1.0;0.0;0.0;0.0;10.0
260250 Brejinho;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
260260 Brejo da Madre de Deus;0.0;13.0;2.0;0.0;0.0;0.0;0.0;15.0
260270 Buenos Aires;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
260280 Buíque;0.0;14.0;0.0;2.0;0.0;0.0;0.0;16.0
260290 Cabo de Santo Agostinho;2.0;51.0;5.0;6.0;3.0;0.0;0.0;67.0
260300 Cabrobó;0.0;12.0;2.0;1.0;0.0;0.0;0.0;15.0
260310 Cachoeirinha;7.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0
260320 Caetés;0.0;13.0;0.0;2.0;0.0;0.0;0.0;15.0
260330 Calçado;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
260340 Calumbi;1.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
260345 Camaragibe;0.0;46.0;0.0;1.0;8.0;1.0;0.0;56.0
260350 Camocim de São Félix;7.0;2.0;0.0;0.0;0.0;0.0;0.0;9.0
260360 Camutanga;0.0;4.0;1.0;1.0;0.0;0.0;0.0;6.0
260370 Canhotinho;1.0;12.0;0.0;1.0;0.0;0.0;0.0;14.0
260380 Capoeiras;0.0;10.0;0.0;1.0;0.0;0.0;0.0;11.0
260390 Carnaíba;0.0;10.0;0.0;0.0;0.0;0.0;0.0;10.0
260392 Carnaubeira da Penha;1.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
260400 Carpina;1.0;22.0;1.0;1.0;0.0;0.0;0.0;25.0
260410 Caruaru;1.0;66.0;1.0;11.0;2.0;1.0;1.0;83.0
260415 Casinhas;2.0;7.0;0.0;0.0;0.0;0.0;0.0;9.0
260420 Catende;0.0;11.0;0.0;0.0;0.0;0.0;0.0;11.0
260430 Cedro;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
260440 Chã de Alegria;0.0;6.0;1.0;0.0;0.0;0.0;0.0;7.0
260450 Chã Grande;0.0;9.0;1.0;1.0;0.0;0.0;0.0;11.0
260460 Condado;0.0;10.0;0.0;1.0;0.0;0.0;0.0;11.0
260470 Correntes;1.0;7.0;0.0;1.0;0.0;0.0;0.0;9.0
260480 Cortês;1.0;8.0;0.0;1.0;0.0;0.0;0.0;10.0
260490 Cumaru;4.0;11.0;0.0;0.0;0.0;0.0;0.0;15.0
260500 Cupira;0.0;9.0;0.0;1.0;0.0;0.0;0.0;10.0
260510 Custódia;1.0;15.0;0.0;1.0;0.0;0.0;0.0;17.0
260515 Dormentes;1.0;8.0;1.0;1.0;0.0;0.0;0.0;11.0
260520 Escada;18.0;9.0;0.0;2.0;0.0;0.0;0.0;29.0
260530 Exu;1.0;15.0;0.0;1.0;0.0;0.0;0.0;17.0
260540 Feira Nova;0.0;9.0;0.0;2.0;0.0;0.0;0.0;11.0
260545 Fernando de Noronha;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0
260550 Ferreiros;1.0;6.0;0.0;0.0;0.0;0.0;0.0;7.0
260560 Flores;0.0;8.0;0.0;0.0;0.0;0.0;0.0;8.0
260570 Floresta;0.0;9.0;0.0;2.0;0.0;0.0;0.0;11.0
260580 Frei Miguelinho;0.0;9.0;0.0;0.0;0.0;0.0;0.0;9.0
260590 Gameleira;8.0;2.0;1.0;0.0;0.0;0.0;0.0;11.0
260600 Garanhuns;0.0;40.0;4.0;6.0;3.0;0.0;0.0;53.0
260610 Glória do Goitá;0.0;9.0;0.0;0.0;0.0;0.0;0.0;9.0
260620 Goiana;1.0;27.0;3.0;4.0;0.0;0.0;0.0;35.0
260630 Granito;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
260640 Gravatá;0.0;20.0;3.0;1.0;0.0;0.0;0.0;24.0
260650 Iati;0.0;8.0;0.0;1.0;0.0;0.0;0.0;9.0
260660 Ibimirim;1.0;12.0;1.0;1.0;0.0;0.0;0.0;15.0
260670 Ibirajuba;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
260680 Igarassu;1.0;35.0;4.0;1.0;3.0;0.0;0.0;44.0
260690 Iguaracy;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
260760 Ilha de Itamaracá;0.0;12.0;0.0;0.0;0.0;0.0;0.0;12.0
260700 Inajá;2.0;8.0;0.0;1.0;0.0;0.0;0.0;11.0
260710 Ingazeira;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
260720 Ipojuca;1.0;24.0;4.0;1.0;0.0;0.0;0.0;30.0
260730 Ipubi;0.0;11.0;1.0;0.0;0.0;0.0;0.0;12.0
260740 Itacuruba;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
260750 Itaíba;0.0;11.0;0.0;1.0;0.0;0.0;0.0;12.0
260765 Itambé;2.0;14.0;1.0;1.0;0.0;0.0;0.0;18.0
260770 Itapetim;0.0;7.0;0.0;1.0;0.0;0.0;0.0;8.0
260775 Itapissuma;2.0;11.0;0.0;1.0;0.0;0.0;0.0;14.0
260780 Itaquitinga;0.0;8.0;0.0;1.0;0.0;0.0;0.0;9.0
260790 Jaboatão dos Guararapes;0.0;121.0;14.0;9.0;1.0;0.0;0.0;145.0
260795 Jaqueira;1.0;6.0;0.0;1.0;0.0;0.0;0.0;8.0
260800 Jataúba;5.0;9.0;0.0;0.0;0.0;0.0;0.0;14.0
260805 Jatobá;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
260810 João Alfredo;1.0;12.0;1.0;1.0;0.0;0.0;0.0;15.0
260820 Joaquim Nabuco;2.0;7.0;0.0;0.0;0.0;0.0;0.0;9.0
260825 Jucati;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
260830 Jupi;0.0;8.0;0.0;1.0;0.0;0.0;0.0;9.0
260840 Jurema;0.0;8.0;0.0;0.0;0.0;0.0;0.0;8.0
260850 Lagoa de Itaenga;0.0;9.0;1.0;0.0;0.0;0.0;0.0;10.0
260845 Lagoa do Carro;5.0;10.0;1.0;0.0;0.0;0.0;0.0;16.0
260860 Lagoa do Ouro;7.0;1.0;0.0;1.0;0.0;0.0;0.0;9.0
260870 Lagoa dos Gatos;0.0;8.0;0.0;1.0;0.0;0.0;0.0;9.0
260875 Lagoa Grande;0.0;10.0;0.0;1.0;0.0;0.0;0.0;11.0
260880 Lajedo;0.0;14.0;0.0;1.0;0.0;0.0;0.0;15.0
260890 Limoeiro;4.0;21.0;2.0;2.0;0.0;0.0;0.0;29.0
260900 Macaparana;0.0;12.0;0.0;0.0;0.0;0.0;0.0;12.0
260910 Machados;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
260915 Manari;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0
260920 Maraial;1.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
260930 Mirandiba;0.0;5.0;1.0;0.0;0.0;0.0;0.0;6.0
261430 Moreilândia;1.0;5.0;1.0;1.0;0.0;0.0;0.0;8.0
260940 Moreno;2.0;18.0;0.0;1.0;0.0;0.0;0.0;21.0
260950 Nazaré da Mata;2.0;15.0;1.0;1.0;0.0;0.0;0.0;19.0
260960 Olinda;0.0;41.0;10.0;4.0;2.0;2.0;0.0;59.0
260970 Orobó;4.0;10.0;0.0;1.0;0.0;0.0;0.0;15.0
260980 Orocó;0.0;8.0;0.0;1.0;0.0;0.0;0.0;9.0
260990 Ouricuri;1.0;23.0;2.0;2.0;1.0;0.0;0.0;29.0
261000 Palmares;1.0;30.0;4.0;2.0;0.0;0.0;0.0;37.0
261010 Palmeirina;1.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0
261020 Panelas;0.0;9.0;0.0;0.0;0.0;0.0;0.0;9.0
261030 Paranatama;2.0;6.0;0.0;1.0;0.0;0.0;0.0;9.0
261040 Parnamirim;0.0;11.0;0.0;0.0;0.0;0.0;0.0;11.0
261050 Passira;2.0;17.0;0.0;1.0;0.0;0.0;0.0;20.0
261060 Paudalho;0.0;21.0;2.0;1.0;0.0;0.0;0.0;24.0
261070 Paulista;1.0;60.0;7.0;6.0;0.0;1.0;0.0;75.0
261080 Pedra;0.0;11.0;0.0;1.0;0.0;0.0;0.0;12.0
261090 Pesqueira;4.0;18.0;3.0;2.0;0.0;0.0;0.0;27.0
261100 Petrolândia;1.0;13.0;1.0;2.0;0.0;0.0;0.0;17.0
261110 Petrolina;0.0;59.0;16.0;12.0;1.0;0.0;0.0;88.0
261120 Poção;3.0;5.0;0.0;1.0;0.0;0.0;0.0;9.0
261130 Pombos;1.0;13.0;1.0;1.0;0.0;0.0;0.0;16.0
261140 Primavera;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
261150 Quipapá;0.0;14.0;1.0;1.0;0.0;0.0;0.0;16.0
261153 Quixaba;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
261160 Recife;0.0;167.0;24.0;46.0;31.0;1.0;5.0;274.0
261170 Riacho das Almas;4.0;8.0;0.0;0.0;0.0;0.0;0.0;12.0
261180 Ribeirão;0.0;12.0;0.0;1.0;0.0;0.0;0.0;13.0
261190 Rio Formoso;0.0;10.0;1.0;1.0;0.0;0.0;0.0;12.0
261200 Sairé;4.0;6.0;0.0;0.0;0.0;0.0;0.0;10.0
